Frame,EAR
0,1.0328962792925844
1,1.0517136305382617
2,1.0299449926245567
3,1.0246691264517436
4,1.0143339607558113
5,0.9562608565871282
6,0.9854183535948671
7,0.9557887509340888
8,0.9821891785804925
9,0.988358625473107
10,0.9798805410366199
11,0.9394973073407717
12,0.9175638562160322
13,0.9438436621469544
14,0.9554502917127512
15,0.9415237409123087
16,0.9131833899657785
17,0.9957038901491864
18,0.9696779870314461
19,0.9842233488796805
20,0.9414145617626005
21,0.9662731629587888
22,0.9333081586674009
23,0.9225103202612764
24,0.9684069337823047
25,0.9263953666808926
26,0.9318800514579484
27,0.884530446876566
28,0.8954983814459144
29,0.9875062360250401
30,0.9726062085701229
31,1.0124538790579174
32,0.9249294381601914
33,0.8871129797625381
34,0.945224421279892
35,0.8972657254505529
36,0.900545742954685
37,0.8717240268818751
38,0.8910300206095911
39,0.8915402207900803
40,0.8954164060066696
41,0.897256976332314
42,0.866051324245356
43,0.9107939497116699
44,0.9597671203605366
45,0.9680238435816234
46,0.9667325982360454
47,0.9733214930823924
48,0.992465752399689
49,0.9876411637927895
50,0.9854682709310657
51,0.9321041249120299
52,0.9755766027553803
53,0.9713819476374218
54,0.965988806043902
55,0.9570779240012055
56,0.9734646857058699
57,0.9679922392569061
58,0.9131671989872219
59,0.896514867174468
60,0.9041522322482786
61,0.8940910766861735
62,0.899934028727952
63,0.8579458880701722
64,0.9044167399436311
65,0.9316769783862914
66,0.9432377071140301
67,0.9416437911024808
68,0.9668887660715153
69,0.9788602446975474
70,0.886043415795591
71,0.8970839736999758
72,0.92362044448191
73,0.9125254015093223
74,0.8920298370151221
75,0.9151940110189489
76,0.8706777299592354
77,0.8967562373241902
78,0.9568706435078845
79,0.9973473326097129
80,1.0051367858360554
81,0.9697707803900549
82,0.98673705916223
83,0.9495529345729847
84,0.9659770451604653
85,0.9684980842357377
86,0.9566881520061947
87,0.9221610125849504
88,0.9865298575523399
89,1.002117029924994
90,0.9886761348320379
91,0.9805842571203723
92,0.9747383117869399
93,0.9652875875569074
94,0.9949178514082773
95,0.9860363763025851
96,0.9821092806364965
97,0.985046160598338
98,0.9888162115123647
99,0.9609837806631162
100,0.9717973681111294
101,0.9694980095113199
102,0.9774688151594741
103,0.9641600520554559
104,0.9621415545793719
105,0.9427484689611584
106,1.017040561651406
107,0.9672757817934645
108,0.9722389561679272
109,0.9603686363921918
110,0.9920113216247738
111,0.9758736620174329
112,0.9680235411698894
113,0.9730275492438942
114,0.9662430193670346
115,0.970000690241527
116,0.9660212541275519
117,0.9888766606698944
118,1.000400722903875
119,0.9762209910187482
120,0.9904500024567153
121,0.989262902074271
122,0.9553432282384113
123,0.9966106718883595
124,0.9794265383927458
125,0.9522275009048744
126,0.9878131473531874
127,0.9727701970416596
128,0.9819948007938815
129,0.9863210348987965
130,0.9796048183239184
131,0.9738190759787746
132,0.9824570011604399
133,0.9500128835601491
134,0.9679671130333171
135,0.9541612871616922
136,0.9742312426015823
137,0.9671491194866243
138,0.9764899158012996
139,0.9499515699920628
140,0.9578458395461419
141,0.9727295356757999
142,0.960967734730231
143,0.9592676425020432
144,0.9778632366777591
145,0.9786864000396818
146,0.9620806888445088
147,0.9866568885511549
148,0.98181036404556
149,0.9855929239998189
150,1.0305037814745885
151,0.9903293681888783
152,0.9623736715790221
153,0.9772034967303019
154,0.971766797574873
155,0.9867854597670326
156,0.9831392790628947
157,0.9775193360864592
158,0.983770309667491
159,0.9850533714037458
160,0.9957938968415192
161,0.9968933801473592
162,0.9820122668731128
163,0.9765839770660265
164,0.9905846589624396
165,1.0249118298676667
166,0.9830202117308339
167,0.9831277591959127
168,0.9616309246010855
169,0.9869180887519594
170,0.9941027885028613
171,1.0490298855969316
172,1.0062379183758703
173,0.9705251817627294
174,0.9697250070238116
175,0.9408440291754336
176,1.0008040016490747
177,0.9893635243845866
178,0.9844071248776487
179,0.9997322860175819
180,0.9970977053301673
181,1.000415840961514
182,0.9929242168026962
183,1.0221208238402908
184,1.0449772162606108
185,1.0419748854785786
186,1.0623897827834345
187,1.0748959805728626
188,1.1184902962425933
189,1.1165762572518558
190,1.107457778980685
191,1.1010338644072517
192,1.0727400509354175
193,1.0959302332581835
194,1.0721341225224488
195,1.069123903081378
196,1.0777306741682184
197,1.0758341109223246
198,1.0860870262783853
199,1.0718875792628633
200,1.1107420162548676
201,1.0715062626247196
202,1.066714727125817
203,1.0412834717151884
204,1.0536236634622163
205,1.0564955605182278
206,1.085417851859334
207,1.0682562303820835
208,1.0476368199938084
209,1.07062219105364
210,1.0515401108206386
211,1.049802179164163
212,1.0431182837979731
213,1.0537381300327326
214,1.0451585131886252
215,1.0650328806156464
216,1.0593523651376715
217,1.0145645503025171
218,1.0358818998527524
219,1.0122981869356011
220,1.0237326789222971
221,1.0076862664089807
222,0.9886106403852382
223,1.0164630222020556
224,0.9741104726905196
